AFGHANISTAN,Afghani,AFN,971,2,
ÅLAND ISLANDS,Euro,EUR,978,2,
ALBANIA,Lek,ALL,008,2,
ALGERIA,Algerian Dinar,DZD,012,2,
AMERICAN SAMOA,US Dollar,USD,840,2,
ANDORRA,Euro,EUR,978,2,
ANGOLA,Kwanza,AOA,973,2,
ANGUILLA,East Caribbean Dollar,XCD,951,2,
ANTARCTICA,No universal currency,,,,
ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951,2,
ARGENTINA,Argentine Peso,ARS,032,2,
ARMENIA,Armenian Dram,AMD,051,2,
ARUBA,Aruban Florin,AWG,533,2,
AUSTRALIA,Australian Dollar,AUD,036,2,
AUSTRIA,Euro,EUR,978,2,
AZERBAIJAN,Azerbaijanian Manat,AZN,944,2,
BAHAMAS (THE),Bahamian Dollar,BSD,044,2,
BAHRAIN,Bahraini Dinar,BHD,048,3,
BANGLADESH,Taka,BDT,050,2,
BARBADOS,Barbados Dollar,BBD,052,2,
BELARUS,Belarusian Ruble,BYN,933,2,
BELGIUM,Euro,EUR,978,2,
BELIZE,Belize Dollar,BZD,084,2,
BENIN,CFA Franc BCEAO,XOF,952,0,
BERMUDA,Bermudian Dollar,BMD,060,2,
BHUTAN,Indian Rupee,INR,356,2,
BHUTAN,Ngultrum,BTN,064,2,
BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,068,2,
BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,984,2,
"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840,2,
BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977,2,
BOTSWANA,Pula,BWP,072,2,
BOUVET ISLAND,Norwegian Krone,NOK,578,2,
BRAZIL,Brazilian Real,BRL,986,2,
BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,2,
BRUNEI DARUSSALAM,Brunei Dollar,BND,096,2,
BULGARIA,Bulgarian Lev,BGN,975,2,
BURKINA FASO,CFA Franc BCEAO,XOF,952,0,
BURUNDI,Burundi Franc,BIF,108,0,
CABO VERDE,Cabo Verde Escudo,CVE,132,2,
CAMBODIA,Riel,KHR,116,2,
CAMEROON,CFA Franc BEAC,XAF,950,0,
CANADA,Canadian Dollar,CAD,124,2,
CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD,136,2,
CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,XAF,950,0,
CHAD,CFA Franc BEAC,XAF,950,0,
CHILE,Chilean Peso,CLP,152,0,
CHILE,Unidad de Fomento,CLF,990,4,
CHINA,Yuan Renminbi,CNY,156,2,
CHRISTMAS ISLAND,Australian Dollar,AUD,036,2,
COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,036,2,
COLOMBIA,Colombian Peso,COP,170,2,
COLOMBIA,Unidad de Valor Real,COU,970,2,
COMOROS (THE),Comoro Franc,KMF,174,0,
CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc,CDF,976,2,
CONGO (THE),CFA Franc BEAC,XAF,950,0,
COOK ISLANDS (THE),New Zealand Dollar,NZD,554,2,
COSTA RICA,Costa Rican Colon,CRC,188,2,
CÔTE D'IVOIRE,CFA Franc BCEAO,XOF,952,0,
CROATIA,Kuna,HRK,191,2,
CUBA,Cuban Peso,CUP,192,2,
CUBA,Peso Convertible,CUC,931,2,
CURAÇAO,Netherlands Antillean Guilder,ANG,532,2,
CYPRUS,Euro,EUR,978,2,
CZECH REPUBLIC (THE),Czech Koruna,CZK,203,2,
DENMARK,Danish Krone,DKK,208,2,
DJIBOUTI,Djibouti Franc,DJF,262,0,
DOMINICA,East Caribbean Dollar,XCD,951,2,
DOMINICAN REPUBLIC (THE),Dominican Peso,DOP,214,2,
ECUADOR,US Dollar,USD,840,2,
EGYPT,Egyptian Pound,EGP,818,2,
EL SALVADOR,El Salvador Colon,SVC,222,2,
EL SALVADOR,US Dollar,USD,840,2,
EQUATORIAL GUINEA,CFA Franc BEAC,XAF,950,0,
ERITREA,Nakfa,ERN,232,2,
ESTONIA,Euro,EUR,978,2,
ETHIOPIA,Ethiopian Birr,ETB,230,2,
EUROPEAN UNION,Euro,EUR,978,2,
"FALKLAND ISLANDS (THE) [MALVINAS]",Falkland Islands Pound,FKP,238,2,
FAROE ISLANDS (THE),Danish Krone,DKK,208,2,
FIJI,Fiji Dollar,FJD,242,2,
FINLAND,Euro,EUR,978,2,
FRANCE,Euro,EUR,978,2,
FRENCH GUIANA,Euro,EUR,978,2,
FRENCH POLYNESIA,CFP Franc,XPF,953,0,
FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,978,2,
GABON,CFA Franc BEAC,XAF,950,0,
GAMBIA (THE),Dalasi,GMD,270,2,
GEORGIA,Lari,GEL,981,2,
GERMANY,Euro,EUR,978,2,
GHANA,Ghana Cedi,GHS,936,2,
GIBRALTAR,Gibraltar Pound,GIP,292,2,
GREECE,Euro,EUR,978,2,
GREENLAND,Danish Krone,DKK,208,2,
GRENADA,East Caribbean Dollar,XCD,951,2,
GUADELOUPE,Euro,EUR,978,2,
GUAM,US Dollar,USD,840,2,
GUATEMALA,Quetzal,GTQ,320,2,
GUERNSEY,Pound Sterling,GBP,826,2,
GUINEA,Guinea Franc,GNF,324,0,
GUINEA-BISSAU,CFA Franc BCEAO,XOF,952,0,
GUYANA,Guyana Dollar,GYD,328,2,
HAITI,Gourde,HTG,332,2,
HAITI,US Dollar,USD,840,2,
HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,036,2,
HOLY SEE (THE),Euro,EUR,978,2,
HONDURAS,Lempira,HNL,340,2,
HONG KONG,Hong Kong Dollar,HKD,344,2,
HUNGARY,Forint,HUF,348,2,
ICELAND,Iceland Krona,ISK,352,0,
