;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;;;;;;;
1;Global Family Day;World Interfaith Harmony Week;Zero Discrimination Day;;;Global Day of Parents;;;;International Day of Older Persons & International Music Day;;World AIDS Day;;;;;;;;;;;;;
2;;;;World Autism Awareness Day;World Tuna Day;;;;;International Day of Non-Violence;International Day to End Impunity for Crimes against Journalists;International Day for the Abolition of Slavery;;;;;;;;;;;;;
3;;;World Wildlife Day;;World Press Freedom Day;World Bicycle Day;;;;;;International Day of Persons with Disabilities;;;;;;;;;;;;;
4;World Braille Day;International Day of Human Fraternity;;International Day for Mine Awareness and Assistance in Mine Action;;International Day of Innocent Children Victims of Aggression;;;;;;;;;;;;;;;;;;;
5;;;;International Day of Conscience;;World Environment Day & International Day for the Fight against Illegal & Unreported and Unregulated Fishing;;;International Day of Charity;World Teachers’ Day;World Tsunami Awareness Day;International Volunteer Day for Economic and Social Development & World Soil Day;;;;;;;;;;;;;
6;;International Day of Zero Tolerance to Female Genital Mutilation;;International Day of Sport for Development and Peace;;;;;;;International Day for Preventing the Exploitation of the Environment in War and Armed Conflict;;;;;;;;;;;;;;
7;;;;International Day of Reflection on the 1994 Genocide in Rwanda & World Health Day;;World Food Safety Day;;;;;;International Civil Aviation Day;;;;;;;;;;;;;
8;;;International Women's Day;;Time of Remembrance and Reconciliation for Those Who Lost Their Lives During the Second World War;World Oceans Day;;;International Literacy Day;;;;;;;;;;;;;;;;
9;;;;;Time of Remembrance and Reconciliation for Those Who Lost Their Lives During the Second World War;;;International Day of the World's Indigenous Peoples;;World Post Day;;International Day of Commemoration and Dignity of the Victims of the Crime of Genocide and of the Prevention of this Crime & International Anti-Corruption Day;;;;;;;;;;;;;
10;;World Pulses Day;;;;;;;World Suicide Prevention Day;World Mental Health Day;World Science Day for Peace and Development;Human Rights Day;;;;;;;;;;;;;
11;International Thank-You Day;International Day of Women and Girls in Science;;;;;World Population Day;;;International Day of the Girl Child;;International Mountain Day;;;;;;;;;;;;;
12;;Darwin Day;;International Day of Human Space Flight;;World Day Against Child Labour;;International Youth Day;United Nations Day for South-South Cooperation;;;;;;;;;;;;;;;;
13;;World Radio Day;;;;International Albinism Awareness Day;;;;International Day for Disaster Reduction;;;;;;;;;;;;;;;
